,beat,beat_num,district,sector,count_l_stops,count_bus_stops,count_metra_stops,count_restaurants,count_bars,count_daycares,count_entertainment,count_businesses,road_distance_ft,TOTAL POPULATION,dist_to_police,dist_to_hospital
227,2,0623,06,2,1.0,57.0,0.0,42.0,3.0,6.0,1.0,79.0,240454.4654001929,6759.295732874268,5403.235879129341,9668.369310408772
228,2,0621,06,2,0.0,31.0,0.0,20.0,1.0,2.0,0.0,48.0,204893.26478257356,7702.386974384584,784.678249529557,9764.225262247399
229,1,0612,06,1,0.0,31.0,0.0,12.0,1.0,6.0,0.0,35.0,197254.9110036468,9622.912874373977,3210.893317934053,11449.155281066449
230,1,0611,06,1,0.0,29.0,0.0,26.0,0.0,5.0,0.0,61.0,169013.2649444705,8520.82352796647,7189.859994864007,8520.134350947958
231,3,0834,08,3,0.0,67.0,1.0,58.0,13.0,8.0,2.0,160.0,379667.1643865168,23955.50730122359,13614.201525563778,12590.998996340084
232,1,0613,06,1,0.0,24.0,1.0,18.0,3.0,4.0,0.0,40.0,193685.683553097,8391.226946799115,4252.689190171558,14390.705986868485
233,2,0422,04,2,0.0,11.0,0.0,11.0,0.0,1.0,0.0,25.0,171598.37161530284,6260.193052277774,15917.78256572615,5210.668259748499
234,3,0631,06,3,0.0,13.0,0.0,20.0,2.0,1.0,2.0,50.0,193709.27946326794,9263.460836000739,7560.904679435936,7952.574275743749
235,2,0622,06,2,0.0,32.0,0.0,25.0,2.0,0.0,1.0,56.0,219142.291082504,2863.110915280656,4695.629860547306,13457.813320036052
236,1,0614,06,1,0.0,28.0,0.0,15.0,1.0,6.0,0.0,46.0,246905.8359720942,8575.454546635869,8092.902674827134,11858.060318248168
